university,cycles,regions,source_rows
가천대,수시모집,경기,수시모집!18
가천대(메디컬),수시모집,인천,수시모집!17
가톨릭대,수시모집,경기,수시모집!19
강남대,수시모집,경기,수시모집!20
강원대,수시모집,강원,수시모집!41
건국대,수시모집,서울,수시모집!4
경북대,수시모집,대구,수시모집!50
경상국립대,수시모집,경남,수시모집!61
경성대,수시모집,부산,수시모집!57
경희대,정시모집,,정시모집!5
계명대,수시모집,대구,수시모집!51
고려대,정시모집,,정시모집!4
고려대(세종),수시모집,세종,수시모집!46
광운대,수시모집,서울,수시모집!5
국립강릉원주대,수시모집,강원,수시모집!42
국립공주대,수시모집,충남,수시모집!47
국립군산대,수시모집,전북,수시모집!68
국립금오공과대,수시모집,경북,수시모집!53
국립순천대,수시모집,전남,수시모집!65
국립한국교통대(의왕),수시모집,경기,수시모집!21
대진대,수시모집,경기,수시모집!23
덕성여대,수시모집,서울,수시모집!6
동명대,수시모집,부산,수시모집!56
동서대,수시모집,부산,수시모집!55
동아대,수시모집,부산,수시모집!58
동양대,수시모집,경기,수시모집!22
동의대,수시모집,부산,수시모집!54
명지대,수시모집,서울,수시모집!7
명지대(용인),수시모집,경기,수시모집!24
부산대,수시모집,부산,수시모집!59
삼육대,수시모집,서울,수시모집!8
서강대,"수시모집, 정시모집",서울,"수시모집!9, 정시모집!6"
서경대,수시모집,서울,수시모집!10
서울기독대,수시모집,서울,수시모집!11
서울대,수시모집,서울,수시모집!12
서울시립대,정시모집,,정시모집!11
서울신학대,수시모집,경기,수시모집!25
서울여대,수시모집,서울,수시모집!13
성결대,수시모집,경기,수시모집!26
성공회대,수시모집,서울,수시모집!14
성균관대,정시모집,,정시모집!8
세종대,정시모집,,정시모집!13
수원대,수시모집,경기,수시모집!27
숙명여대,수시모집,서울,수시모집!15
숭실대,정시모집,,정시모집!12
신한대,수시모집,경기,수시모집!28
아주대,정시모집,,정시모집!17
안양대,수시모집,경기,수시모집!29
연세대,정시모집,,정시모집!7
연세대(미래),수시모집,강원,수시모집!43
영남대,수시모집,경북,수시모집!52
용인대,수시모집,경기,수시모집!30
울산대,수시모집,울산,수시모집!60
원광대,수시모집,전북,수시모집!69
을지대,수시모집,경기,수시모집!31
인제대,수시모집,경남,수시모집!62
인천대,정시모집,,정시모집!15
인하대,정시모집,,정시모집!16
전남대,수시모집,광주,수시모집!63
전남대(여수),수시모집,전남,수시모집!66
전북대,수시모집,전북,수시모집!67
제주대,수시모집,제주,수시모집!70
조선대,수시모집,광주,수시모집!64
중부대(고양),수시모집,경기,수시모집!32
중앙대,정시모집,,정시모집!10
충남대,수시모집,대전,수시모집!45
충북대,수시모집,충북,수시모집!49
칼빈대,수시모집,경기,수시모집!33
평택대,수시모집,경기,수시모집!34
한경국립대,수시모집,경기,수시모집!35
한국공학대,수시모집,경기,수시모집!36
한국기술교육대,수시모집,충남,수시모집!48
한국항공대,정시모집,,정시모집!18
한라대,수시모집,강원,수시모집!44
한성대,수시모집,서울,수시모집!16
한세대,수시모집,경기,수시모집!37
한신대,수시모집,경기,수시모집!38
한양대,정시모집,,정시모집!9
한양대(ERICA),정시모집,,정시모집!19
협성대,수시모집,경기,수시모집!39
홍익대,정시모집,,정시모집!14
화성의과학대,수시모집,경기,수시모집!40
